ql	q-us-ql	united	states
or	q-us-or	united	states
bm25	q-us-bm25	united	states
and	q-us-and	united	states
bm25	q-sciam-bm25	scientific	america	supplement
or	q-motion-or	motion	vibratory	earth	water	stars	piston
ql	q-hosp-ql	hospital
or	q-hosp-or	hospital
and	q-hosp-and	hospital
and	q-das	detail	and	specification
or	pq-us-or	united states
bm25	pq-us-bm25	united states
and	pq-us-and	united states
or	pq-sciam-or	scientific america supplement
and	pq-das	detail and specification
tf	pq-ows-tf	own subscription
tf	pq-dfor-tf	drift formation
tf	q-trou-tf	trout
tf	q-notind-tf	notinindex
df	q-hein-df	hell	insect
df	pq-mygo-df	my mind	go
df	q-notex-df	notex